1:Troian Bellisario-[['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', ''], ['a cordusio', 'small', '']]
161:Sasha Alexander-[['a mocha', 'large', ''], ['a mocha', 'large', ''], ['a mocha', 'large', ''], ['a mocha', 'large', ''], ['a mocha', 'large', '']]
162:Anna Paquin-[['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', ''], ['an espresso macchiato', 'large', '']]
163:Edie Falco-[['a peppermint hot chocolate', 'medium', ''], ['a peppermint hot chocolate', 'medium', ''], ['a peppermint hot chocolate', 'medium', ''], ['a peppermint hot chocolate', 'medium', ''], ['a peppermint hot chocolate', 'medium', '']]
164:Penn Badgley-[['a noisette', 'medium', 'a blueberry muffin'], ['a noisette', 'medium', 'a blueberry muffin'], ['a noisette', 'medium', 'a blueberry muffin'], ['a noisette', 'medium', 'a blueberry muffin'], ['a noisette', 'medium', 'a blueberry muffin']]
165:Christina Hendricks-[['an espresso', 'large', 'a doughnut'], ['an espresso', 'large', 'a doughnut'], ['an espresso', 'large', 'a doughnut'], ['an espresso', 'large', 'a doughnut'], ['an espresso', 'large', 'a doughnut']]
166:Ian Somerhalder-[['a cappuccino', 'medium', 'a breakfast tortilla wrap'], ['a cappuccino', 'medium', 'a breakfast tortilla wrap'], ['a cappuccino', 'medium', 'a breakfast tortilla wrap'], ['a cappuccino', 'medium', 'a breakfast tortilla wrap'], ['a cappuccino', 'medium', 'a breakfast tortilla wrap']]
167:Mary-Louise Parker-[['a noisette', 'large', 'a gingerbread cookie'], ['a noisette', 'large', 'a gingerbread cookie'], ['a noisette', 'large', 'a gingerbread cookie'], ['a noisette', 'large', 'a gingerbread cookie'], ['a noisette', 'large', 'a gingerbread cookie']]
168:Lisa Kudrow-[['a white hot chocolate', 'small', 'a chocolate chip cookie'], ['a white hot chocolate', 'small', 'a chocolate chip cookie'], ['a white hot chocolate', 'small', 'a chocolate chip cookie'], ['a white hot chocolate', 'small', 'a chocolate chip cookie'], ['a white hot chocolate', 'small', 'a chocolate chip cookie']]
169:Vera Farmiga-[['a caramel macchiato', 'medium', 'a doughnut'], ['a caramel macchiato', 'medium', 'a doughnut'], ['a caramel macchiato', 'medium', 'a doughnut'], ['a caramel macchiato', 'medium', 'a doughnut'], ['a caramel macchiato', 'medium', 'a doughnut']]
170:Joseph Gordon-Levitt-[['a latte', 'medium', 'a chocolate chip cookie'], ['a latte', 'medium', 'a chocolate chip cookie'], ['a latte', 'medium', 'a chocolate chip cookie'], ['a latte', 'medium', 'a chocolate chip cookie'], ['a latte', 'medium', 'a chocolate chip cookie']]
171:Lucy Hale-[['a breakfast tea', 'medium', 'a chocolate chip cookie'], ['a breakfast tea', 'medium', 'a chocolate chip cookie'], ['a breakfast tea', 'medium', 'a chocolate chip cookie'], ['a breakfast tea', 'medium', 'a chocolate chip cookie'], ['a breakfast tea', 'medium', 'a chocolate chip cookie']]
172:Jessica Pare-[['a caramel macchiato', 'small', ''], ['a caramel macchiato', 'small', ''], ['a caramel macchiato', 'small', ''], ['a caramel macchiato', 'small', ''], ['a caramel macchiato', 'small', '']]
173:Jennifer Carpenter-[['a latte', 'medium', ''], ['a latte', 'medium', ''], ['a latte', 'medium', ''], ['a latte', 'medium', ''], ['a latte', 'medium', '']]
174:Eric Stonestreet-[['an espresso', 'small', ''], ['an espresso', 'small', ''], ['an espresso', 'small', ''], ['an espresso', 'small', ''], ['an espresso', 'small', '']]
175:Helen Hunt-[['an espresso', 'medium', ''], ['an espresso', 'medium', ''], ['an espresso', 'medium', ''], ['an espresso', 'medium', ''], ['an espresso', 'medium', '']]
176:Emma Roberts-[['a cappuccino', 'large', 'an everything bagel'], ['a cappuccino', 'large', 'an everything bagel'], ['a cappuccino', 'large', 'an everything bagel'], ['a cappuccino', 'large', 'an everything bagel'], ['a cappuccino', 'large', 'an everything bagel']]
177:Lana Parrilla-[['an espresso', 'small', ''], ['an espresso', 'small', ''], ['an espresso', 'small', ''], ['an espresso', 'small', ''], ['an espresso', 'small', '']]
178:Emilia Clarke-[['a mocha', 'large', ''], ['a mocha', 'large', ''], ['a mocha', 'large', ''], ['a mocha', 'large', ''], ['a mocha', 'large', '']]
179:Gary Coleman-[['a cappuccino', 'medium', ''], ['a cappuccino', 'medium', ''], ['a cappuccino', 'medium', ''], ['a cappuccino', 'medium', ''], ['a cappuccino', 'medium', '']]
180:Kate Walsh-[['an Earl Grey', 'small', ''], ['an Earl Grey', 'small', ''], ['an Earl Grey', 'small', ''], ['an Earl Grey', 'small', ''], ['an Earl Grey', 'small', '']]
181:Michael Hall-[['a breakfast tea', 'large', 'a classic oatmeal'], ['a breakfast tea', 'large', 'a classic oatmeal'], ['a breakfast tea', 'large', 'a classic oatmeal'], ['a breakfast tea', 'large', 'a classic oatmeal'], ['a breakfast tea', 'large', 'a classic oatmeal']]
182:Tom Mison-[['a mocha', 'small', 'a blueberry muffin'], ['a mocha', 'small', 'a blueberry muffin'], ['a mocha', 'small', 'a blueberry muffin'], ['a mocha', 'small', 'a blueberry muffin'], ['a mocha', 'small', 'a blueberry muffin']]
183:Tom Welling-[['a hot chocolate', 'small', 'a double chocolate muffin'], ['a hot chocolate', 'small', 'a double chocolate muffin'], ['a hot chocolate', 'small', 'a double chocolate muffin'], ['a hot chocolate', 'small', 'a double chocolate muffin'], ['a hot chocolate', 'small', 'a double chocolate muffin']]
184:Misha Collins-[['a hot chocolate', 'large', ''], ['a hot chocolate', 'large', ''], ['a hot chocolate', 'large', ''], ['a hot chocolate', 'large', ''], ['a hot chocolate', 'large', '']]
185:Madeleine Stowe-[['an espresso macchiato', 'medium', 'an everything bagel'], ['an espresso macchiato', 'medium', 'an everything bagel'], ['an espresso macchiato', 'medium', 'an everything bagel'], ['an espresso macchiato', 'medium', 'an everything bagel'], ['an espresso macchiato', 'medium', 'an everything bagel']]
186:Timothy Hutton-[['a cordusio', 'small', 'a double chocolate muffin'], ['a cordusio', 'small', 'a double chocolate muffin'], ['a cordusio', 'small', 'a double chocolate muffin'], ['a cordusio', 'small', 'a double chocolate muffin'], ['a cordusio', 'small', 'a double chocolate muffin']]
187:Jeff Bridges-[['a breakfast tea', 'medium', ''], ['a breakfast tea', 'medium', ''], ['a breakfast tea', 'medium', ''], ['a breakfast tea', 'medium', ''], ['a breakfast tea', 'medium', '']]
188:Damon Wayans Jr.-[['a cappuccino', 'medium', 'a breakfast tortilla wrap'], ['a cappuccino', 'medium', 'a breakfast tortilla wrap'], ['a cappuccino', 'medium', 'a breakfast tortilla wrap'], ['a cappuccino', 'medium', 'a breakfast tortilla wrap'], ['a cappuccino', 'medium', 'a breakfast tortilla wrap']]
189:Matthew Perry-[['a noisette', 'small', 'a classic oatmeal'], ['a noisette', 'small', 'a classic oatmeal'], ['a noisette', 'small', 'a classic oatmeal'], ['a noisette', 'small', 'a classic oatmeal'], ['a noisette', 'small', 'a classic oatmeal']]
190:Ed O'Neill-[['a caramel macchiato', 'small', ''], ['a caramel macchiato', 'small', ''], ['a caramel macchiato', 'small', ''], ['a caramel macchiato', 'small', ''], ['a caramel macchiato', 'small', '']]
191:Joelle Carter-[['an espresso', 'large', 'a carrot cake'], ['an espresso', 'large', 'a carrot cake'], ['an espresso', 'large', 'a carrot cake'], ['an espresso', 'large', 'a carrot cake'], ['an espresso', 'large', 'a carrot cake']]
192:Jake Gyllenhaal-[['a caramel macchiato', 'large', 'a veggie tortilla wrap'], ['a caramel macchiato', 'large', 'a veggie tortilla wrap'], ['a caramel macchiato', 'large', 'a veggie tortilla wrap'], ['a caramel macchiato', 'large', 'a veggie tortilla wrap'], ['a caramel macchiato', 'large', 'a veggie tortilla wrap']]
193:Cybill Shepherd-[['an espresso', 'small', ''], ['an espresso', 'small', ''], ['an espresso', 'small', ''], ['an espresso', 'small', ''], ['an espresso', 'small', '']]
194:Jennette McCurdy-[['a black tea', 'large', 'a double chocolate muffin'], ['a black tea', 'large', 'a double chocolate muffin'], ['a black tea', 'large', 'a double chocolate muffin'], ['a black tea', 'large', 'a double chocolate muffin'], ['a black tea', 'large', 'a double chocolate muffin']]
195:Kat Dennings-[['a cordusio', 'large', ''], ['a cordusio', 'large', ''], ['a cordusio', 'large', ''], ['a cordusio', 'large', ''], ['a cordusio', 'large', '']]
196:David Giuntoli-[['a white hot chocolate', 'medium', ''], ['a white hot chocolate', 'medium', ''], ['a white hot chocolate', 'medium', ''], ['a white hot chocolate', 'medium', ''], ['a white hot chocolate', 'medium', '']]
197:Simon Helberg-[['an espresso', 'large', 'a chocolate chip cookie'], ['an espresso', 'large', 'a chocolate chip cookie'], ['an espresso', 'large', 'a chocolate chip cookie'], ['an espresso', 'large', 'a chocolate chip cookie'], ['an espresso', 'large', 'a chocolate chip cookie']]
198:Josh Dallas-[['a white hot chocolate', 'medium', 'a blueberry oatmeal'], ['a white hot chocolate', 'medium', 'a blueberry oatmeal'], ['a white hot chocolate', 'medium', 'a blueberry oatmeal'], ['a white hot chocolate', 'medium', 'a blueberry oatmeal'], ['a white hot chocolate', 'medium', 'a blueberry oatmeal']]
199:Blake Lively-[['a latte', 'small', 'a pain au chocolat'], ['a latte', 'small', 'a pain au chocolat'], ['a latte', 'small', 'a pain au chocolat'], ['a latte', 'small', 'a pain au chocolat'], ['a latte', 'small', 'a pain au chocolat']]
200:Nina Dobrev-[['a white hot chocolate', 'small', ''], ['a white hot chocolate', 'small', ''], ['a white hot chocolate', 'small', ''], ['a white hot chocolate', 'small', ''], ['a white hot chocolate', 'small', '']]
